Latitude, Longitude, Altitude
5.5561900, 95.3151630, 12.7
5.5561914, 95.3151630, 12.9
5.5561924, 95.3151630, 12.7
5.5561929, 95.3151630, 13.1
5.5561938, 95.3151630, 13.1
5.5561943, 95.3151630, 13.1
5.5561962, 95.3151630, 12.2
5.5561967, 95.3151550, 10.6
5.5561976, 95.3151550, 10.3
5.5561976, 95.3151550, 9.7
5.5562005, 95.3151550, 9.5
5.5562015, 95.3151550, 7.7
5.5562029, 95.3151630, 7.3
5.5562053, 95.3151630, 7.2
5.5562067, 95.3151630, 5.9
5.5562081, 95.3151630, 5.4
5.5562091, 95.3151630, 5.1
5.5562091, 95.3151630, 5.0
5.5562105, 95.3151630, 5.2
5.5562119, 95.3151630, 5.0
5.5562134, 95.3151630, 4.6
5.5562148, 95.3151630, 4.4
5.5562158, 95.3151630, 3.9
5.5562162, 95.3151630, 3.4
5.5562167, 95.3151630, 3.5
5.5562172, 95.3151630, 3.7
5.5562177, 95.3151630, 3.9
5.5562181, 95.3151630, 4.0
5.5562186, 95.3151630, 4.0
5.5562186, 95.3151630, 3.8
5.5562186, 95.3151550, 4.0
5.5562191, 95.3151550, 4.0
5.5562191, 95.3151550, 4.0
5.5562191, 95.3151550, 4.1
5.5562191, 95.3151550, 4.3
5.5562186, 95.3151550, 4.3
5.5562186, 95.3151630, 4.7
5.5562186, 95.3151630, 5.0
5.5562177, 95.3151700, 5.3
5.5562172, 95.3151700, 5.5
5.5562167, 95.3151700, 5.6
5.5562162, 95.3151700, 5.8
5.5562148, 95.3151700, 6.0
5.5562139, 95.3151700, 6.1
5.5562129, 95.3151700, 6.3
5.5562115, 95.3151700, 6.4
5.5562115, 95.3151780, 6.6
5.5562105, 95.3151780, 6.4
5.5562096, 95.3151860, 6.5
5.5562081, 95.3151860, 6.4
5.5562067, 95.3151860, 6.8
5.5562057, 95.3151860, 7.0
5.5562048, 95.3151860, 6.9
5.5562038, 95.3151860, 6.7
5.5562034, 95.3151860, 6.7
5.5562024, 95.3151860, 6.5
5.5562015, 95.3151860, 6.5
5.5562010, 95.3151930, 6.6
5.5562000, 95.3151930, 6.8
5.5562000, 95.3151930, 7.0
5.5561996, 95.3151930, 7.1
5.5561996, 95.3151930, 6.8
5.5561996, 95.3151930, 6.5
5.5561996, 95.3151930, 6.2
5.5561991, 95.3151930, 5.8
5.5561991, 95.3151930, 5.7
5.5561991, 95.3151860, 5.7
5.5561986, 95.3151860, 5.7
5.5561986, 95.3151860, 5.9
5.5561986, 95.3151860, 6.1
5.5561986, 95.3151860, 6.3
5.5561991, 95.3151860, 6.5
5.5561991, 95.3151860, 6.6
5.5561991, 95.3151860, 6.8
5.5561986, 95.3151860, 6.9
5.5561967, 95.3151860, 7.9
5.5561967, 95.3151780, 8.2
5.5561962, 95.3151780, 8.4
5.5561957, 95.3151780, 8.5
5.5561953, 95.3151700, 8.7
5.5561962, 95.3151700, 8.8
5.5561957, 95.3151700, 8.8
5.5561957, 95.3151700, 8.7
5.5561957, 95.3151700, 8.8
5.5561953, 95.3151630, 8.8
5.5561943, 95.3151630, 8.9
5.5561943, 95.3151630, 8.9
5.5561938, 95.3151630, 8.9
5.5561934, 95.3151630, 8.9
5.5561924, 95.3151630, 8.9
5.5561924, 95.3151630, 9.0
5.5561919, 95.3151700, 9.2
5.5561919, 95.3151630, 9.2
5.5561914, 95.3151700, 9.4
5.5561914, 95.3151700, 9.7
5.5561914, 95.3151700, 9.9
5.5561914, 95.3151700, 10.1
5.5561905, 95.3151700, 10.2
5.5561895, 95.3151700, 10.9
5.5561895, 95.3151700, 11.6
5.5561891, 95.3151780, 12.0
5.5561886, 95.3151780, 12.5
5.5561881, 95.3151780, 13.5
5.5561881, 95.3151780, 13.9
5.5561876, 95.3151780, 14.0
5.5561872, 95.3151780, 14.5
5.5561867, 95.3151700, 15.2
5.5561857, 95.3151700, 15.9
5.5561848, 95.3151630, 16.5
5.5561838, 95.3151630, 17.3
5.5561833, 95.3151630, 17.9
5.5561833, 95.3151630, 18.4
5.5561824, 95.3151630, 18.7
5.5561814, 95.3151630, 19.1
5.5561805, 95.3151550, 20.0
5.5561795, 95.3151550, 20.5
5.5561790, 95.3151550, 21.0
5.5561790, 95.3151550, 21.4
5.5561790, 95.3151550, 21.8
5.5561790, 95.3151550, 21.9
5.5561790, 95.3151550, 22.1
5.5561795, 95.3151630, 22.4
5.5561810, 95.3151630, 22.5
5.5561814, 95.3151700, 22.7
5.5561824, 95.3151700, 22.7
5.5561833, 95.3151780, 22.7
5.5561843, 95.3151860, 22.7
5.5561857, 95.3151860, 22.7
5.5561867, 95.3151930, 22.7
5.5561876, 95.3151930, 22.7
5.5561881, 95.3152010, 22.6
5.5561886, 95.3152010, 22.2
5.5561886, 95.3152010, 21.9
5.5561891, 95.3152010, 21.8
5.5561905, 95.3152010, 21.0
5.5561919, 95.3152080, 20.6
5.5561929, 95.3152080, 20.2
5.5561938, 95.3152080, 19.8
5.5561943, 95.3152080, 19.3
5.5561948, 95.3152080, 18.8
5.5561962, 95.3152080, 18.6
5.5561967, 95.3152080, 18.0
5.5561967, 95.3152080, 17.9
5.5561967, 95.3152080, 17.7
5.5561967, 95.3152160, 17.5
5.5561972, 95.3152160, 17.4
5.5561976, 95.3152080, 17.2
5.5561986, 95.3152080, 16.7
5.5561991, 95.3152080, 16.2
5.5562000, 95.3152080, 15.6
5.5562010, 95.3152080, 15.4
5.5561991, 95.3152010, 15.3
5.5562024, 95.3151930, 15.0
5.5562110, 95.3151930, 14.7
5.5562196, 95.3151930, 14.9
5.5562248, 95.3152010, 13.3
5.5562286, 95.3151930, 13.5
5.5562305, 95.3152010, 12.3
5.5562315, 95.3151930, 11.7
5.5562320, 95.3151860, 11.0
5.5562334, 95.3151860, 10.1
5.5562344, 95.3151860, 9.7
5.5562348, 95.3151860, 9.6
5.5562358, 95.3151860, 9.4
5.5562363, 95.3151860, 9.2
5.5562363, 95.3151860, 9.1
5.5562372, 95.3151860, 9.2
5.5562387, 95.3151860, 9.2
5.5562410, 95.3151860, 9.0
