 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  6;  5; 55.0000; 45.0000;   873;     0;     0; 21542; 22415;0.002777;0.000000;0.002777;0.038947;1.000000;0.038947;1.000000;1.000000;1.000000;0.010817;0.010817;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.002585;0.002585
 All;  6;  6; 55.0000; 55.0000;  6512;     0;     0; 15900; 22412;0.002777;0.000000;0.002777;0.290559;1.000000;0.290559;1.000000;1.000000;1.000000;0.080695;0.080695;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.019284;0.019284
 All;  6;  7; 55.0000; 65.0000; 19177;     0;     0;  3236; 22413;0.002777;0.000000;0.002777;0.855620;1.000000;0.855620;1.000000;1.000000;1.000000;0.237627;0.237627;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.056787;0.056787
 All;  6;  8; 55.0000; 75.0000;  9850;     0;     0; 12561; 22411;0.002777;0.000000;0.002777;0.439516;1.000000;0.439516;1.000000;1.000000;1.000000;0.122065;0.122065;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.029171;0.029171
 All;  6;  9; 55.0000; 85.0000;  1407;     0;     0; 20999; 22406;0.002777;0.000000;0.002777;0.062796;1.000000;0.062796;1.000000;1.000000;1.000000;0.017440;0.017440;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.004168;0.004168
 All;  6; 10; 55.0000; 95.0000; 11184;     0;     0; 11228; 22412;0.002777;0.000000;0.002777;0.499018;1.000000;0.499018;1.000000;1.000000;1.000000;0.138590;0.138590;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.033120;0.033120
 All;  6; 11; 55.0000;105.0000; 22326;     0;     0;    86; 22412;0.002777;0.000000;0.002777;0.996163;1.000000;0.996163;1.000000;1.000000;1.000000;0.276659;0.276659;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.066115;0.066115
 All;  6; 12; 55.0000;115.0000; 22411;     0;     0;     0; 22411;0.002777;0.000000;0.002777;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.277725;0.277725;0.004533;0.005129;0.096674;0.066370;0.163043;0.096674;0.066370;0.163043;0.096674;0.066370;0.163043
 All;  6; 13; 55.0000;125.0000; 22416;     0;     0;     0; 22416;0.002777;0.000000;0.002777;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.277725;0.277725;0.004533;0.005129;0.271359;0.066370;0.337728;0.271359;0.066370;0.337728;0.271359;0.066370;0.337728
 All;  6; 14; 55.0000;135.0000; 19662;     0;     0;  2753; 22415;0.002777;0.000000;0.002777;0.877180;1.000000;0.877180;0.879443;1.000000;0.879443;0.243615;0.243615;0.004533;0.005129;0.319127;0.066370;0.385497;0.319127;0.066370;0.385497;0.280654;0.058218;0.338872
