 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  3;  9; 25.0000; 85.0000;  3163;     0;     0; 30296; 33459;0.004388;0.000000;0.004388;0.094534;1.000000;0.094534;0.098051;1.000000;0.098051;0.041484;0.041484;0.003695;0.002924;0.151082;0.054105;0.205187;0.151082;0.054105;0.205187;0.014814;0.005115;0.019928
 All;  3; 10; 25.0000; 95.0000;  1304;     0;     0; 32140; 33444;0.004388;0.000000;0.004388;0.038991;1.000000;0.038991;0.062297;1.000000;0.062297;0.017110;0.017110;0.003695;0.002924;0.104290;0.054105;0.158395;0.104290;0.054105;0.158395;0.006497;0.002110;0.008607
 All;  3; 11; 25.0000;105.0000;  1082;     0;     0; 32374; 33456;0.004388;0.000000;0.004388;0.032341;1.000000;0.032341;0.023201;1.000000;0.023201;0.014192;0.014192;0.003695;0.002924;0.087009;0.054105;0.141114;0.087009;0.054105;0.141114;0.002019;0.001750;0.003768
 All;  3; 12; 25.0000;115.0000;  3244;     0;     0; 30211; 33455;0.004388;0.000000;0.004388;0.096966;1.000000;0.096966;0.081512;1.000000;0.081512;0.042552;0.042552;0.003695;0.002924;0.084882;0.054105;0.138987;0.084882;0.054105;0.138987;0.006919;0.005246;0.012165
 All;  3; 13; 25.0000;125.0000;   339;     0;     0; 33117; 33456;0.004388;0.000000;0.004388;0.010133;1.000000;0.010133;0.010591;1.000000;0.010591;0.004447;0.004447;0.003695;0.002924;0.089285;0.054105;0.143390;0.089285;0.054105;0.143390;0.000946;0.000548;0.001494
 All;  3; 14; 25.0000;135.0000;   177;     0;     0; 33274; 33451;0.004388;0.000000;0.004388;0.005291;1.000000;0.005291;0.001853;1.000000;0.001853;0.002322;0.002322;0.003695;0.002924;0.101466;0.054105;0.155571;0.101466;0.054105;0.155571;0.000188;0.000286;0.000474
 All;  3; 15; 25.0000;145.0000;   315;     0;     0; 33130; 33445;0.004388;0.000000;0.004388;0.009418;1.000000;0.009418;0.004938;1.000000;0.004938;0.004133;0.004133;0.003695;0.002924;0.119932;0.054105;0.174037;0.119932;0.054105;0.174037;0.000592;0.000510;0.001102
 All;  3; 16; 25.0000;155.0000;   685;     0;     0; 32770; 33455;0.004388;0.000000;0.004388;0.020475;1.000000;0.020475;0.024973;1.000000;0.024973;0.008985;0.008985;0.003695;0.002924;0.147463;0.054105;0.201568;0.147463;0.054105;0.201568;0.003683;0.001108;0.004790
 All;  3; 17; 25.0000;165.0000; 10133;     0;     0; 23319; 33452;0.004388;0.000000;0.004388;0.302912;1.000000;0.302912;0.301040;1.000000;0.301040;0.132928;0.132928;0.003695;0.002924;0.178843;0.054105;0.232948;0.178843;0.054105;0.232948;0.053839;0.016389;0.070228
 All;  3; 18; 25.0000;175.0000; 15315;     0;     0; 18144; 33459;0.004388;0.000000;0.004388;0.457724;1.000000;0.457724;0.429915;1.000000;0.429915;0.200865;0.200865;0.003695;0.002924;0.203348;0.054105;0.257453;0.203348;0.054105;0.257453;0.087422;0.024765;0.112188
 All;  3; 19; 25.0000;185.0000;  3696;     0;     0; 29748; 33444;0.004388;0.000000;0.004388;0.110513;1.000000;0.110513;0.122780;1.000000;0.122780;0.048497;0.048497;0.003695;0.002924;0.203132;0.054105;0.257237;0.203132;0.054105;0.257237;0.024941;0.005979;0.030920
 All;  3; 20; 25.0000;195.0000;  6397;     0;     0; 27059; 33456;0.004388;0.000000;0.004388;0.191206;1.000000;0.191206;0.214768;1.000000;0.214768;0.083908;0.083908;0.003695;0.002924;0.179228;0.054105;0.233333;0.179228;0.054105;0.233333;0.038492;0.010345;0.048838
 All;  3; 21; 25.0000;205.0000; 10306;     0;     0; 23149; 33455;0.004388;0.000000;0.004388;0.308056;1.000000;0.308056;0.302540;1.000000;0.302540;0.135185;0.135185;0.003695;0.002924;0.147389;0.054105;0.201494;0.147389;0.054105;0.201494;0.044591;0.016667;0.061258
 All;  3; 22; 25.0000;215.0000; 19032;     0;     0; 14424; 33456;0.004388;0.000000;0.004388;0.568867;1.000000;0.568867;0.564882;1.000000;0.564882;0.249637;0.249637;0.003695;0.002924;0.119749;0.054105;0.173854;0.119749;0.054105;0.173854;0.067644;0.030779;0.098423
 All;  3; 23; 25.0000;225.0000; 14746;     0;     0; 18705; 33451;0.004388;0.000000;0.004388;0.440824;1.000000;0.440824;0.417060;1.000000;0.417060;0.193448;0.193448;0.003695;0.002924;0.102075;0.054105;0.156180;0.102075;0.054105;0.156180;0.042571;0.023851;0.066422
