Latitude, Longitude, Altitude
5.2435513, 95.5902860, 278.7
5.2435503, 95.5902860, 278.3
5.2435513, 95.5902790, 277.7
5.2435503, 95.5902790, 277.4
5.2435503, 95.5902860, 277.7
5.2435498, 95.5902940, 277.9
5.2435503, 95.5902940, 278.6
5.2435484, 95.5902940, 279.3
5.2435431, 95.5902940, 280.3
5.2435403, 95.5902940, 279.8
5.2435350, 95.5902940, 280.6
5.2435250, 95.5902860, 281.0
5.2435188, 95.5902860, 280.3
5.2435098, 95.5902860, 280.1
5.2435045, 95.5902790, 279.7
5.2435002, 95.5902710, 280.0
5.2434855, 95.5902630, 279.8
5.2434788, 95.5902630, 280.1
5.2434707, 95.5902560, 279.9
5.2434673, 95.5902480, 280.1
5.2434583, 95.5902400, 279.3
5.2434473, 95.5902330, 278.2
5.2434435, 95.5902250, 276.5
5.2434382, 95.5902250, 276.5
5.2434344, 95.5902180, 275.5
5.2434330, 95.5902100, 275.6
5.2434292, 95.5902100, 275.5
5.2434258, 95.5902020, 275.5
5.2434244, 95.5902020, 275.0
5.2434201, 95.5901950, 274.0
5.2434115, 95.5901870, 274.1
5.2434049, 95.5901870, 274.0
5.2433977, 95.5901870, 275.2
5.2433867, 95.5901870, 275.0
5.2433825, 95.5901790, 274.3
5.2433758, 95.5901720, 274.1
5.2433705, 95.5901490, 275.1
5.2433662, 95.5901490, 276.4
5.2433619, 95.5901410, 275.8
5.2433591, 95.5901340, 276.6
5.2433529, 95.5901340, 276.7
5.2433434, 95.5901260, 276.9
5.2433376, 95.5901180, 276.9
5.2433310, 95.5901110, 276.3
5.2433305, 95.5901110, 277.4
5.2433267, 95.5901030, 277.4
5.2433200, 95.5901030, 277.0
5.2433071, 95.5900800, 278.8
5.2433052, 95.5900800, 279.0
5.2432976, 95.5900800, 279.4
5.2432928, 95.5900800, 279.1
5.2432861, 95.5900800, 278.6
5.2432771, 95.5900730, 278.3
5.2432694, 95.5900730, 277.3
5.2432656, 95.5900650, 277.8
5.2432599, 95.5900730, 278.5
5.2432566, 95.5900650, 279.7
5.2432446, 95.5900650, 279.3
5.2432399, 95.5900650, 283.1
5.2432323, 95.5900650, 283.3
5.2432208, 95.5900500, 283.5
5.2432103, 95.5900420, 281.8
5.2432003, 95.5900420, 281.8
5.2431903, 95.5900420, 281.0
5.2431803, 95.5900420, 281.3
5.2431612, 95.5900340, 281.0
5.2431469, 95.5900270, 283.2
5.2431355, 95.5900270, 283.4
5.2431211, 95.5900270, 283.6
5.2431135, 95.5900270, 282.9
5.2431030, 95.5900270, 283.6
5.2430911, 95.5900270, 283.8
5.2430801, 95.5900120, 283.9
5.2430749, 95.5900040, 282.5
5.2430682, 95.5899960, 281.8
5.2430639, 95.5899890, 282.5
5.2430601, 95.5899890, 282.5
5.2430582, 95.5899810, 282.2
5.2430553, 95.5899810, 281.4
5.2430520, 95.5899730, 282.6
5.2430511, 95.5899730, 282.4
5.2430506, 95.5899730, 282.8
5.2430506, 95.5899730, 283.3
5.2430515, 95.5899730, 283.7
5.2430487, 95.5899660, 284.4
5.2430410, 95.5899660, 284.1
5.2430305, 95.5899580, 285.0
5.2430282, 95.5899580, 284.9
5.2430258, 95.5899580, 285.1
5.2430234, 95.5899580, 285.2
5.2430220, 95.5899580, 285.8
5.2430215, 95.5899580, 286.1
5.2430229, 95.5899510, 286.5
5.2430248, 95.5899510, 286.6
5.2430239, 95.5899510, 286.7
5.2430239, 95.5899510, 287.7
5.2430258, 95.5899580, 288.4
5.2430215, 95.5899510, 289.5
5.2430239, 95.5899510, 289.7
5.2430263, 95.5899510, 289.7
5.2430286, 95.5899510, 290.4
5.2430320, 95.5899510, 290.6
5.2430425, 95.5899510, 290.5
5.2430496, 95.5899510, 289.1
5.2430568, 95.5899510, 288.5
5.2430601, 95.5899430, 289.0
5.2430601, 95.5899430, 288.4
5.2430568, 95.5899200, 288.7
5.2430577, 95.5899200, 288.0
5.2430596, 95.5899120, 288.1
5.2430577, 95.5899120, 288.3
5.2430530, 95.5899050, 288.6
5.2430511, 95.5899050, 287.3
5.2430482, 95.5898970, 287.6
5.2430449, 95.5898970, 287.8
5.2430449, 95.5898900, 287.9
5.2430420, 95.5898820, 287.5
5.2430415, 95.5898740, 287.5
5.2430425, 95.5898670, 287.2
5.2430420, 95.5898590, 287.4
5.2430429, 95.5898590, 288.9
5.2430415, 95.5898510, 289.2
5.2430363, 95.5898280, 288.8
5.2430239, 95.5898130, 286.1
5.2430210, 95.5898060, 284.8
5.2430186, 95.5898060, 286.0
5.2430158, 95.5898060, 286.7
5.2430081, 95.5897900, 285.4
5.2430029, 95.5897900, 283.0
5.2430015, 95.5897900, 283.9
5.2430000, 95.5897830, 284.0
5.2430005, 95.5897750, 284.4
5.2430015, 95.5897670, 284.6
5.2429962, 95.5897520, 284.3
5.2429905, 95.5897450, 284.1
5.2429848, 95.5897370, 284.8
5.2429800, 95.5897290, 284.8
5.2429748, 95.5897140, 283.9
5.2429690, 95.5897060, 286.4
5.2429667, 95.5896910, 285.8
5.2429624, 95.5896760, 286.6
5.2429643, 95.5896610, 287.1
5.2429633, 95.5896450, 288.1
5.2429585, 95.5896300, 288.5
5.2429543, 95.5896220, 288.9
5.2429495, 95.5896220, 288.3
5.2429419, 95.5896220, 288.6
5.2429371, 95.5896300, 288.7
5.2429328, 95.5896300, 289.6
5.2429280, 95.5896300, 289.7
5.2429214, 95.5896300, 290.2
5.2429147, 95.5896220, 289.9
5.2429047, 95.5896150, 290.0
5.2428989, 95.5896150, 289.2
5.2428946, 95.5896070, 289.1
5.2428923, 95.5896070, 288.7
5.2428885, 95.5896000, 289.0
5.2428875, 95.5896000, 287.6
5.2428885, 95.5895920, 288.4
