DateTime, Latitude, Longitude, Altitude, Temperature
2021-02-07T09:44:50, 5.3565297, 95.4190670, 63.4, 28
2021-02-07T09:44:51, 5.3565397, 95.4190750, 62.5, 28
2021-02-07T09:44:52, 5.3565435, 95.4190670, 62.1, 28
2021-02-07T09:44:53, 5.3565507, 95.4190750, 62.1, 28
2021-02-07T09:44:54, 5.3565583, 95.4190750, 61.7, 28
2021-02-07T09:44:55, 5.3565679, 95.4190830, 62.0, 28
2021-02-07T09:44:56, 5.3565784, 95.4190830, 61.9, 28
2021-02-07T09:44:57, 5.3565874, 95.4190900, 61.6, 28
2021-02-07T09:44:58, 5.3565974, 95.4190900, 59.8, 28
2021-02-07T09:44:59, 5.3566060, 95.4190980, 59.4, 28
2021-02-07T09:45:00, 5.3566146, 95.4191060, 59.9, 28
2021-02-07T09:45:01, 5.3566217, 95.4191060, 60.1, 28
2021-02-07T09:45:02, 5.3566275, 95.4191130, 59.6, 28
2021-02-07T09:45:03, 5.3566308, 95.4191130, 59.6, 28
2021-02-07T09:45:04, 5.3566327, 95.4191130, 59.8, 28
2021-02-07T09:45:05, 5.3566322, 95.4191210, 59.9, 28
2021-02-07T09:45:06, 5.3566408, 95.4191210, 60.2, 28
2021-02-07T09:45:07, 5.3566456, 95.4191210, 60.6, 28
2021-02-07T09:45:08, 5.3566484, 95.4191280, 60.1, 28
2021-02-07T09:45:09, 5.3566527, 95.4191280, 60.2, 28
2021-02-07T09:45:10, 5.3566656, 95.4191210, 60.1, 28
2021-02-07T09:45:11, 5.3566704, 95.4191210, 62.7, 28
2021-02-07T09:45:12, 5.3566694, 95.4191280, 62.8, 28
2021-02-07T09:45:13, 5.3566704, 95.4191360, 63.5, 28
2021-02-07T09:45:14, 5.3566718, 95.4191440, 63.5, 28
2021-02-07T09:45:15, 5.3566742, 95.4191510, 64.1, 28
2021-02-07T09:45:16, 5.3566785, 95.4191590, 64.4, 28
2021-02-07T09:45:18, 5.3566809, 95.4191590, 65.0, 28
2021-02-07T09:45:19, 5.3566804, 95.4191670, 64.9, 28
2021-02-07T09:45:20, 5.3566856, 95.4191740, 64.4, 28
2021-02-07T09:45:21, 5.3566914, 95.4191820, 65.0, 28
2021-02-07T09:45:22, 5.3566947, 95.4191890, 65.1, 28
2021-02-07T09:45:23, 5.3566966, 95.4192050, 64.4, 28
2021-02-07T09:45:24, 5.3566995, 95.4192050, 65.2, 28
2021-02-07T09:45:25, 5.3567057, 95.4192120, 65.2, 28
2021-02-07T09:45:26, 5.3567095, 95.4192120, 65.1, 28
2021-02-07T09:45:27, 5.3567095, 95.4192200, 65.2, 28
2021-02-07T09:45:28, 5.3567114, 95.4192200, 64.7, 28
2021-02-07T09:45:29, 5.3567166, 95.4192430, 64.0, 28
2021-02-07T09:45:30, 5.3567190, 95.4192430, 64.3, 28
2021-02-07T09:45:31, 5.3567257, 95.4192500, 63.8, 28
2021-02-07T09:45:32, 5.3567290, 95.4192580, 62.0, 28
2021-02-07T09:45:33, 5.3567295, 95.4192660, 60.8, 28
2021-02-07T09:45:34, 5.3567305, 95.4192580, 60.9, 28
2021-02-07T09:45:35, 5.3567300, 95.4192580, 60.5, 28
2021-02-07T09:45:36, 5.3567367, 95.4192660, 60.0, 28
2021-02-07T09:45:37, 5.3567400, 95.4192660, 59.7, 28
2021-02-07T09:45:38, 5.3567429, 95.4192730, 59.7, 28
2021-02-07T09:45:39, 5.3567457, 95.4192810, 59.4, 28
2021-02-07T09:45:40, 5.3567386, 95.4192810, 59.6, 28
2021-02-07T09:45:41, 5.3567386, 95.4192810, 59.7, 28
2021-02-07T09:45:42, 5.3567367, 95.4192810, 59.8, 28
2021-02-07T09:45:43, 5.3567357, 95.4192810, 59.9, 28
2021-02-07T09:45:44, 5.3567352, 95.4192890, 60.2, 28
2021-02-07T09:45:45, 5.3567352, 95.4192890, 61.1, 28
2021-02-07T09:45:46, 5.3567343, 95.4192890, 61.4, 28
2021-02-07T09:45:47, 5.3567343, 95.4192890, 61.8, 28
2021-02-07T09:45:48, 5.3567367, 95.4192960, 62.1, 28
2021-02-07T09:45:49, 5.3567367, 95.4193040, 62.1, 28
2021-02-07T09:45:50, 5.3567371, 95.4193040, 61.8, 28
2021-02-07T09:45:51, 5.3567362, 95.4193120, 62.6, 28
2021-02-07T09:45:52, 5.3567390, 95.4193190, 62.4, 28
2021-02-07T09:45:53, 5.3567390, 95.4193190, 62.1, 28
2021-02-07T09:45:54, 5.3567390, 95.4193190, 62.2, 28
2021-02-07T09:45:55, 5.3567376, 95.4193190, 62.3, 28
2021-02-07T09:45:57, 5.3567386, 95.4193190, 62.8, 28
2021-02-07T09:45:58, 5.3567348, 95.4193190, 62.8, 28
2021-02-07T09:45:59, 5.3567338, 95.4193190, 63.0, 28
2021-02-07T09:46:00, 5.3567333, 95.4193270, 63.3, 28
2021-02-07T09:46:01, 5.3567352, 95.4193340, 63.3, 28
2021-02-07T09:46:02, 5.3567395, 95.4193340, 62.8, 28
2021-02-07T09:46:03, 5.3567414, 95.4193340, 62.9, 28
2021-02-07T09:46:04, 5.3567443, 95.4193340, 63.3, 28
2021-02-07T09:46:05, 5.3567481, 95.4193420, 64.1, 28
2021-02-07T09:46:06, 5.3567519, 95.4193420, 64.3, 28
2021-02-07T09:46:07, 5.3567553, 95.4193420, 64.5, 28
2021-02-07T09:46:08, 5.3567581, 95.4193500, 64.1, 28
2021-02-07T09:46:09, 5.3567610, 95.4193420, 62.9, 28
2021-02-07T09:46:10, 5.3567657, 95.4193420, 63.3, 28
2021-02-07T09:46:11, 5.3567739, 95.4193500, 63.2, 28
2021-02-07T09:46:12, 5.3567801, 95.4193500, 62.3, 28
2021-02-07T09:46:13, 5.3567858, 95.4193500, 61.2, 28
2021-02-07T09:46:14, 5.3567910, 95.4193500, 61.7, 28
2021-02-07T09:46:15, 5.3567944, 95.4193500, 61.2, 28
2021-02-07T09:46:16, 5.3567996, 95.4193500, 60.7, 28
2021-02-07T09:46:17, 5.3568025, 95.4193500, 60.6, 28
2021-02-07T09:46:18, 5.3568120, 95.4193570, 60.7, 28
2021-02-07T09:46:19, 5.3568215, 95.4193570, 61.1, 28
2021-02-07T09:46:20, 5.3568301, 95.4193570, 61.5, 28
2021-02-07T09:46:21, 5.3568358, 95.4193570, 61.8, 28
2021-02-07T09:46:22, 5.3568401, 95.4193650, 63.2, 28
2021-02-07T09:46:23, 5.3568454, 95.4193650, 63.6, 28
2021-02-07T09:46:24, 5.3568516, 95.4193650, 63.8, 28
2021-02-07T09:46:25, 5.3568583, 95.4193650, 65.1, 28
2021-02-07T09:46:26, 5.3568649, 95.4193650, 66.2, 28
2021-02-07T09:46:27, 5.3568683, 95.4193650, 66.6, 28
2021-02-07T09:46:28, 5.3568721, 95.4193800, 67.1, 28
2021-02-07T09:46:29, 5.3568783, 95.4193800, 66.4, 28
2021-02-07T09:46:30, 5.3568830, 95.4193880, 66.1, 28
2021-02-07T09:46:31, 5.3568864, 95.4193950, 66.1, 28
2021-02-07T09:46:32, 5.3568873, 95.4193950, 65.8, 28
2021-02-07T09:46:33, 5.3568897, 95.4194030, 66.1, 28
2021-02-07T09:46:34, 5.3568931, 95.4194030, 66.2, 28
2021-02-07T09:46:35, 5.3568983, 95.4194110, 66.3, 28
2021-02-07T09:46:37, 5.3569098, 95.4194110, 67.1, 28
2021-02-07T09:46:38, 5.3569169, 95.4194180, 67.0, 28
2021-02-07T09:46:39, 5.3569236, 95.4194180, 67.3, 28
2021-02-07T09:46:40, 5.3569303, 95.4194180, 67.2, 28
2021-02-07T09:46:41, 5.3569369, 95.4194180, 67.1, 28
2021-02-07T09:46:42, 5.3569388, 95.4194180, 67.1, 28
2021-02-07T09:46:43, 5.3569393, 95.4194260, 67.2, 28
2021-02-07T09:46:44, 5.3569379, 95.4194180, 67.2, 28
2021-02-07T09:46:45, 5.3569431, 95.4194180, 67.1, 28
2021-02-07T09:46:46, 5.3569436, 95.4194260, 68.7, 28
2021-02-07T09:46:47, 5.3569455, 95.4194260, 68.8, 28
2021-02-07T09:46:48, 5.3569455, 95.4194180, 68.7, 28
2021-02-07T09:46:49, 5.3569450, 95.4194260, 68.5, 28
2021-02-07T09:46:50, 5.3569455, 95.4194260, 68.3, 28
2021-02-07T09:46:51, 5.3569441, 95.4194180, 68.1, 28
2021-02-07T09:46:52, 5.3569436, 95.4194180, 67.8, 28
2021-02-07T09:46:53, 5.3569441, 95.4194180, 67.9, 28
2021-02-07T09:46:54, 5.3569441, 95.4194180, 67.8, 27
2021-02-07T09:46:55, 5.3569436, 95.4194180, 67.8, 27
2021-02-07T09:46:56, 5.3569431, 95.4194180, 67.9, 27
2021-02-07T09:46:57, 5.3569431, 95.4194180, 67.8, 27
2021-02-07T09:46:58, 5.3569412, 95.4194180, 67.6, 27
2021-02-07T09:46:59, 5.3569427, 95.4194110, 67.7, 27
2021-02-07T09:47:00, 5.3569427, 95.4194110, 67.4, 27
2021-02-07T09:47:01, 5.3569427, 95.4194030, 67.4, 27
2021-02-07T09:47:02, 5.3569417, 95.4194110, 67.4, 27
2021-02-07T09:47:03, 5.3569398, 95.4194110, 67.4, 27
2021-02-07T09:47:04, 5.3569365, 95.4194110, 67.6, 27
2021-02-07T09:47:05, 5.3569369, 95.4194110, 67.6, 27
2021-02-07T09:47:06, 5.3569350, 95.4194180, 67.5, 27
2021-02-07T09:47:07, 5.3569331, 95.4194180, 67.4, 27
2021-02-07T09:47:08, 5.3569326, 95.4194180, 67.1, 27
2021-02-07T09:47:09, 5.3569322, 95.4194180, 67.0, 27
2021-02-07T09:47:10, 5.3569298, 95.4194180, 67.0, 27
2021-02-07T09:47:11, 5.3569298, 95.4194180, 66.9, 27
2021-02-07T09:47:12, 5.3569303, 95.4194180, 66.7, 27
2021-02-07T09:47:13, 5.3569312, 95.4194180, 66.4, 27
2021-02-07T09:47:14, 5.3569326, 95.4194260, 66.0, 27
2021-02-07T09:47:15, 5.3569355, 95.4194180, 65.9, 27
2021-02-07T09:47:17, 5.3569388, 95.4194110, 66.0, 27
2021-02-07T09:47:18, 5.3569412, 95.4194030, 66.1, 27
2021-02-07T09:47:19, 5.3569427, 95.4194030, 65.9, 27
2021-02-07T09:47:20, 5.3569436, 95.4194030, 65.7, 27
2021-02-07T09:47:21, 5.3569446, 95.4194030, 65.6, 27
2021-02-07T09:47:22, 5.3569450, 95.4194030, 65.5, 27
2021-02-07T09:47:23, 5.3569450, 95.4194030, 65.6, 27
2021-02-07T09:47:24, 5.3569455, 95.4194030, 65.6, 27
2021-02-07T09:47:25, 5.3569465, 95.4194030, 65.6, 27
